"connection","http_version","name","resources_count","timestamp","speedIndex","perceptualSpeedIndex","firstVisualChange","lastVisualChange","url","windowSize"
"3g","1.1","0-starting-point",39,"2017-01-08T08:05:12+00:00",8292,8296,8267,10267,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/0-starting-point.html","1023x733"
"3g","1.1","0-starting-point",39,"2017-01-08T08:14:41+00:00",8621,8622,8584,11717,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/0-starting-point.html","1023x733"
"3g","1.1","0-starting-point",39,"2017-01-08T08:14:41+00:00",8242,8246,8217,10717,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/0-starting-point.html","1023x733"
"3g","1.1","0-starting-point",39,"2017-01-08T08:14:41+00:00",8528,8534,8500,10717,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/0-starting-point.html","1023x733"
"3g","1.1","0-starting-point",39,"2017-01-08T08:14:41+00:00",8348,8315,8217,10967,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/0-starting-point.html","1023x733"
"3g","1.1","0-starting-point",39,"2017-01-08T08:14:41+00:00",8206,8205,8167,11717,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/0-starting-point.html","1023x733"
"3g","1.1","1-gzip",39,"2017-01-08T08:05:37+00:00",4726,4503,4217,8384,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/1-gzip.html","1023x733"
"3g","1.1","1-gzip",39,"2017-01-08T08:16:44+00:00",4645,4626,4534,8700,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/1-gzip.html","1023x733"
"3g","1.1","1-gzip",39,"2017-01-08T08:16:44+00:00",4010,3854,3617,8383,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/1-gzip.html","1023x733"
"3g","1.1","1-gzip",39,"2017-01-08T08:16:44+00:00",4479,4367,4233,8733,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/1-gzip.html","1023x733"
"3g","1.1","1-gzip",39,"2017-01-08T08:16:44+00:00",4460,4339,4200,8317,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/1-gzip.html","1023x733"
"3g","1.1","1-gzip",39,"2017-01-08T08:16:44+00:00",4769,4748,4667,8600,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/1-gzip.html","1023x733"
"3g","1.1","2-image-optimization",39,"2017-01-08T08:06:00+00:00",4651,4472,4250,8467,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/2-image-optimization.html","1023x733"
"3g","1.1","2-image-optimization",39,"2017-01-08T08:18:34+00:00",4647,4622,4533,8417,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/2-image-optimization.html","1023x733"
"3g","1.1","2-image-optimization",39,"2017-01-08T08:18:34+00:00",4853,4703,4517,8650,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/2-image-optimization.html","1023x733"
"3g","1.1","2-image-optimization",39,"2017-01-08T08:18:34+00:00",4904,4891,4800,8667,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/2-image-optimization.html","1023x733"
"3g","1.1","2-image-optimization",39,"2017-01-08T08:18:34+00:00",4187,4060,3917,8033,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/2-image-optimization.html","1023x733"
"3g","1.1","2-image-optimization",39,"2017-01-08T08:18:34+00:00",4696,4592,4467,8417,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/2-image-optimization.html","1023x733"
"3g","1.1","3-asset-minification",39,"2017-01-08T08:06:24+00:00",4590,4598,4550,7800,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/3-asset-minification.html","1023x733"
"3g","1.1","3-asset-minification",39,"2017-01-08T08:20:21+00:00",3990,3860,3650,7517,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/3-asset-minification.html","1023x733"
"3g","1.1","3-asset-minification",39,"2017-01-08T08:20:21+00:00",3626,3472,3233,6817,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/3-asset-minification.html","1023x733"
"3g","1.1","3-asset-minification",39,"2017-01-08T08:20:21+00:00",3967,3818,3600,7250,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/3-asset-minification.html","1023x733"
"3g","1.1","3-asset-minification",39,"2017-01-08T08:20:21+00:00",4591,4598,4550,7850,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/3-asset-minification.html","1023x733"
"3g","1.1","3-asset-minification",39,"2017-01-08T08:20:21+00:00",4057,3880,3633,7217,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/3-asset-minification.html","1023x733"
"3g","1.1","4-icon-inlining",29,"2017-01-08T08:06:44+00:00",4201,4054,3850,6700,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/4-icon-inlining.html","1023x733"
"3g","1.1","4-icon-inlining",29,"2017-01-08T08:22:05+00:00",4044,3994,3917,6884,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/4-icon-inlining.html","1023x733"
"3g","1.1","4-icon-inlining",29,"2017-01-08T08:22:05+00:00",4267,4108,3917,6933,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/4-icon-inlining.html","1023x733"
"3g","1.1","4-icon-inlining",29,"2017-01-08T08:22:05+00:00",4236,4087,3900,6850,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/4-icon-inlining.html","1023x733"
"3g","1.1","4-icon-inlining",29,"2017-01-08T08:22:05+00:00",4210,4050,3850,7100,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/4-icon-inlining.html","1023x733"
"3g","1.1","4-icon-inlining",29,"2017-01-08T08:22:05+00:00",4213,4068,3884,6884,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/4-icon-inlining.html","1023x733"
"3g","1.1","5-asset-bundling",25,"2017-01-08T08:07:04+00:00",2871,2748,2633,5900,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/5-asset-bundling.html","1023x733"
"3g","1.1","5-asset-bundling",25,"2017-01-08T08:23:41+00:00",2902,2771,2633,6233,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/5-asset-bundling.html","1023x733"
"3g","1.1","5-asset-bundling",25,"2017-01-08T08:23:41+00:00",2857,2719,2584,6184,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/5-asset-bundling.html","1023x733"
"3g","1.1","5-asset-bundling",25,"2017-01-08T08:23:41+00:00",2862,2724,2600,5900,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/5-asset-bundling.html","1023x733"
"3g","1.1","5-asset-bundling",25,"2017-01-08T08:23:41+00:00",2232,2107,1983,5700,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/5-asset-bundling.html","1023x733"
"3g","1.1","5-asset-bundling",25,"2017-01-08T08:23:41+00:00",2585,2447,2317,5934,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/5-asset-bundling.html","1023x733"
"3g","1.1","6-final",26,"2017-01-08T08:07:23+00:00",2936,2743,2584,6200,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/6-final.html","1023x733"
"3g","1.1","6-final",26,"2017-01-08T08:25:11+00:00",2965,2786,2634,6217,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/6-final.html","1023x733"
"3g","1.1","6-final",26,"2017-01-08T08:25:11+00:00",2633,2440,2284,5950,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/6-final.html","1023x733"
"3g","1.1","6-final",26,"2017-01-08T08:25:11+00:00",2858,2711,2584,6184,"https://pagespeed-benchmark-http-1.4pi.eu/best-practices/6-final.html","1023x733"
